alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var;;sum var;sum std;exp gas;1std;2std;3std;;;;"""-2std"
0,27;35,75472162;44187,13973;72,98409504;2,15E-13;0;18,63265756;0;0;3,84E-13;41144,2858;0;0;3042,853926;0;-3,28E-09;-3,65E-10;28,75337688;0;0;7,00134474;0;0;0;75,49658237;0;0;3,68615825;0;0;-8,64E-12;4450412,337;0;0;4397276,671;0;0;0;;8847689,007;2974,506515;44187,13973;47161,64624;50136,15276;53110,65927;69,1922708;1;250000;38238,1267
0,28;38,97384366;83721,3275;72,98409504;36,62923735;0;0;0;0;0;41144,2858;42577,0417;0;0;0;0;0;28,75337688;10,22046678;0;0;0;0;0;75,49658237;2,190205326;0;0;0;0;0;4450412,337;4577573;0;0;0;0;0;;9027985,337;3004,660603;83721,3275;86725,9881;89730,6487;92735,3093;55,3402512;1;250000;77712,00629
0,29;45,43935544;84368,75663;72,98409504;36,62923735;0;11,87567266;0;0;0;41144,2858;42577,0417;0;647,4291305;0;-3,30E-09;-3,74E-10;28,75337688;10,22046678;0;6,465511783;0;0;0;75,49658237;2,190205326;0;5,172717638;0;0;0;4450412,337;4577573,807;0;0;0;0;0;;9027986,143;3004,660737;84368,75663;87373,41736;90378,0781;93382,73884;55,12477377;1;250000;78359,43515
0,3;44,91774755;84481,51681;72,98409504;36,62923735;0;9,547293683;0;5,36E-11;0;41144,2858;42577,0417;0;760,189317;-7,95E-10;-2,06E-08;-3,74E-10;28,75337688;10,22046678;0;5,943903895;0;2,06E-11;0;75,49658237;2,190205326;0;6,886965485;0;1,66E-11;0;4450412,337;4577573,807;0;0;0;0;0;;9027986,143;3004,660737;84481,51681;87486,17755;90490,83829;93495,49902;55,08724534;1;250000;78472,19534
0,31;45,43935544;84368,75663;72,98409504;36,62923735;0;11,87567266;0;0;0;41144,2858;42577,0417;0;647,4291305;0;4,09E-12;-3,74E-10;28,75337688;10,22046678;0;6,465511783;0;0;0;75,49658237;2,190205326;0;5,172717638;0;0;0;4450412,337;4577573,807;0;0;0;0;0;;9027986,143;3004,660737;84368,75663;87373,41736;90378,0781;93382,73884;55,12477377;1;250000;78359,43515
0,32;45,04634958;84442,47088;72,98409504;36,62923735;0;8,808251782;0;0;0;41144,2858;42577,0417;-1,84E-10;721,1433844;0;0;-3,77E-10;28,75337688;10,22046678;0;6,072505926;0;0;0;75,49658237;2,190205326;0;7,431078364;0;0;0;4450412,337;4577573,807;0;0;0;0;0;;9027986,143;3004,660737;84442,47088;87447,13162;90451,79235;93456,45309;55,10024047;1;250000;78433,14941
0,33;45,60274797;84496,85195;72,98409504;36,62923735;0;14,02528823;0;0;0;41144,2858;42577,0417;0;775,5244579;0;0;0;28,75337688;10,22046678;0;6,628904312;0;0;0;75,49658237;2,190205326;0;4,291101829;0;0;0;4450412,337;4577573,807;0;0;0;0;0;;9027986,143;3004,660737;84496,85195;87501,51269;90506,17343;93510,83416;55,08214156;1;250000;78487,53048
0,34;45,04634958;84442,47088;72,98409504;36,62923735;-2,71E-13;8,808251782;0;0;0;41144,2858;42577,0417;3,06E-10;721,1433844;0;-3,28E-09;-3,74E-10;28,75337688;10,22046678;0;6,072505926;0;0;0;75,49658237;2,190205326;2,49E-12;7,431078364;0;0;0;4450412,337;4577573,807;0;0;0;0;0;;9027986,143;3004,660737;84442,47088;87447,13162;90451,79235;93456,45309;55,10024047;1;250000;78433,14941
0,35;46,34871321;90754,19467;72,98409504;43,23205803;0;14,02528823;0;0;0;41144,2858;48834,38441;0;775,5244579;0;-3,30E-09;-3,74E-10;28,75337688;10,96643202;0;6,628904312;0;0;0;75,49658237;1,83617196;0;4,291101829;0;0;0;4450412,337;7158393,237;0;0;0;0;0;;11608805,57;3407,169731;90754,19467;94161,3644;97568,53413;100975,7039;46,73844214;1;250000;83939,8552
0,36;47,67296216;96430,15946;72,98409504;47,06790081;0;18,18988302;0;0;0;41144,2858;52469,52521;1,94E-11;2816,348452;-8,06E-10;0;-3,74E-10;28,75337688;11,96364355;0;6,955941728;0;0;0;75,49658237;1,631140152;0;3,644577809;0;0;0;4450412,337;9826643,237;0;3832781,29;0;0;0;;18109836,86;4255,565399;96430,15946;100685,7249;104941,2903;109196,8557;36,08682423;1;250000;87919,02867
0,37;53,26122089;100794,7493;72,98409504;36,62923735;0;13,13738779;0;24,79271295;0;41144,2858;42577,0417;2,55E-11;567,8041111;-8,07E-10;16505,61771;-3,75E-10;28,75337688;10,22046678;0;6,561414896;0;7,72596234;0;75,49658237;2,190205326;0;4,526176968;0;4,238566096;0;4450412,337;4577573,807;0;0;0;13512174,22;0;;22540160,36;4747,647877;100794,7493;105542,3972;110290,0451;115037,6929;31,42719396;1;250000;91299,45356
0,38;52,77231192;100948,0886;72,98409504;36,62923735;0;8,808251782;0;24,79271295;3,84E-13;41144,2858;42577,0417;-1,86E-10;721,1433844;-8,07E-10;16505,61771;-3,64E-10;28,75337688;10,22046678;0;6,072505926;3,40E-12;7,72596234;0;75,49658237;2,190205326;1,21E-12;7,431078364;0;4,238566096;-8,64E-12;4450412,337;4577573,807;0;0;0;13512174,22;0;;22540160,36;4747,647877;100948,0886;105695,7365;110443,3843;115191,0322;31,39489602;1;250000;91452,79283
0,39;53,32190714;100972,6252;72,98409504;36,62923735;0;13,93578472;0;24,79271295;0;41144,2858;42577,0417;1,43E-10;745,6800453;1,36E-11;16505,61771;-3,74E-10;28,75337688;10,22046678;0;6,62210114;0;7,72596234;0;75,49658237;2,190205326;0;4,312348986;0;4,238566096;0;4450412,337;4577573,807;0;0;0;13512174,22;0;;22540160,36;4747,647877;100972,6252;105720,2731;110467,921;115215,5689;31,38972784;1;250000;91477,32949
0,4;53,27511014;100825,1624;72,98409504;36,62923735;0;13,32011671;0;24,79271295;0;41144,2858;42577,0417;0;598,2172037;1,90E-10;16505,61771;-3,74E-10;28,75337688;10,22046678;0;6,575304143;0;7,72596234;0;75,49658237;2,190205326;0;4,47700321;0;4,238566096;0;4450412,337;4577573,807;0;0;0;13512174,22;0;;22540160,36;4747,647877;100825,1624;105572,8103;110320,4582;115068,106;31,42078803;1;250000;91329,86665
0,41;54,2942069;103539,9015;72,98409504;36,62923735;0;14,02528823;0;26,16720264;0;41144,2858;42577,0417;-1,85E-10;775,5244579;-8,07E-10;19043,04957;1,79E-10;28,75337688;10,22046678;0;6,628904312;0;8,691458935;0;75,49658237;2,190205326;0;4,291101829;0;4,668926878;0;4450412,337;4577573,807;0;0;0;14140447,27;0;;23168433,41;4813,359888;103539,9015;108353,2614;113166,6213;117979,9812;30,42783043;1;250000;93913,18175
