;W1_gas_mean;W1_gas_var;W1_gas_X;W2_gas_mean;W2_gas_var;W2_gas_X;W3_gas_mean;W3_gas_var;W3_gas_X;W4_gas_mean;W4_gas_var;W4_gas_X;W5_gas_mean;W5_gas_var;W5_gas_X;W6_gas_mean;W6_gas_var;W6_gas_X;W7_gas_mean;W7_gas_var;W7_gas_X
60;38469.8671875;3619.28;60;64724.98046875;4805.2397;60;51135.05078125;10504.777;60;49685.97;10912.968;60;58283.34375;11667.546;60;50512.6484375;6143.976;60;58134.74609375;10673.436000000003;60
61;38675.84765625;3433.1982;61;65672.65625;5468.884;61;51551.72265625;13677.806;61;49869.99;11734.788;61;59592.28515625;15173.068000000001;61;50978.6328125;6052.876;61;58930.02734375;11326.373;61
62;38881.8203125;3240.0786;62;66620.328125;4670.2959999999985;62;51968.40234375;12977.024;62;51537.234;10498.758;62;60901.23046875;13030.99;62;51444.6171875;5890.738;62;59725.32421875;11527.68;62
63;39087.796875;3130.5952;63;67568.015625;5035.703;63;52385.0703125;10438.338;63;51494.766;12901.003;63;62210.1796875;16645.31;63;51910.6015625;5370.7065;63;60514.8515625;8608.854;63
64;39293.7734375;2976.228;64;68515.6875;5045.282;64;52801.7421875;12591.991000000002;64;51610.773;14303.467;64;63519.12109375;15514.309;64;52376.5859375;5871.0186;64;61303.74609375;14402.54;64
65;39499.75;2884.4868;65;69463.359375;5175.648;65;53218.421875;12363.184;65;53279.23;12158.765;65;64828.0625;12105.591;65;52842.57421875;6504.42;65;62092.6328125;12691.562;65
66;39705.7265625;2738.161;66;70411.046875;4845.5854;66;53635.08984375;15054.318;66;54646.816;10992.088;66;66137.0078125;15947.898000000001;66;53308.55859375;6206.49;66;62881.51953125;13864.612;66
67;39911.703125;2619.3835;67;71358.71875;5937.88;67;54051.76953125;14198.577;67;54096.207;13630.068;67;67445.953125;15962.538;67;53774.5390625;6069.62;67;63670.4140625;11400.213;67
68;40117.6796875;2567.5417;68;72306.390625;5282.3;68;54468.4375;15713.021;68;55096.797;14030.84;68;68754.8984375;18391.41;68;54240.5234375;6328.04;68;64459.30859375;14722.158;68
69;40323.65625;2472.675;69;73254.078125;5054.4463;69;54885.1171875;11100.887;69;56473.33;12112.924;69;70063.8359375;13473.627;69;54706.51171875;6205.5986;69;65248.1953125;11270.347;69
70;40529.6328125;2370.7761;70;74201.75;5481.8647;70;55301.78515625;13640.055;70;56072.37;15680.502;70;71372.7890625;16997.742;70;55172.5;6182.5186;70;66037.09375;12459.412;70
71;40735.609375;2298.2043;71;75149.421875;5423.0596;71;55718.46484375;14758.464;71;57804.24;12546.584;71;72681.7421875;15539.378;71;55638.484375;6398.2715;71;66825.9765625;17339.066000000006;71
72;40941.5859375;2142.99;72;76097.109375;6487.9204;72;56135.13671875;12950.426;72;58553.457;14092.245;72;73990.6796875;18968.916;72;56104.46875;6452.8457;72;67614.8671875;15919.855;72
73;41147.5625;2136.0532;73;77044.78125;6342.7163;73;56551.8125;13472.834;73;58068.62;16603.12;73;75299.625;19358.484;73;56570.44921875;6815.3853;73;68403.7578125;14358.628;73
74;41353.5390625;2002.3057;74;77992.453125;6612.5674;74;56968.48046875;12408.813999999995;74;59234.72;16118.97;74;76608.5703125;16606.47;74;57036.4375;6399.874;74;69192.640625;15019.57;74
75;41559.515625;1974.701;75;78940.140625;6705.1763;75;57385.16015625;17061.91;75;60032.645;15572.448;75;77917.515625;14808.736;75;57502.421875;6176.9204;75;69981.5390625;14818.355;75
76;41765.4921875;1889.0493;76;79887.8125;6392.869000000002;76;57801.83203125;16922.3;76;60273.94;17488.688;76;79226.4453125;17451.053;76;57968.40625;5783.45;76;70770.4296875;17120.932;76
77;41971.46875;1842.6316;77;80835.4921875;6865.976;77;58218.51171875;16430.746;77;63008.387;13175.479;77;80535.390625;19301.488;77;58434.390625;6618.9233;77;71559.328125;18806.715;77
