,choke,choke_num,choke_sem,gas,gas_num,gas_sem,gaslift_rate,gaslift_rate_num,gaslift_rate_sem,oil,oil_num,oil_sem,prs_dns,prs_dns_num,prs_dns_sem,prs_ups,prs_ups_num,prs_ups_sem,time,time_ms_begin,time_ms_end,water,water_num,water_sem,well
238,30.249445029215202,228.0,0.0018275449475259756,176719.97680958966,475,6270.66362488481,110185.81249214133,473,39.74271188910305,351.0420931304749,465,0.5388035289006399,15.08860516653681,454.0,0.002605509952260165,17.16734706776862,458.0,0.0076217632325820215,2016-08-19 13:00:00+00:00,1471611600000,1471626001000,184.9917012448133,460,0.8907152123874075,B6
239,30.25238239794846,234.0,0.000804027834702773,1230731.799585062,480,61983.199359307204,110144.2673582296,478,23.009639450324944,344.79381051175653,470,1.4101316689923882,14.914648803701704,461.0,0.013918522305123018,17.065370487738118,464.0,0.012303447605121582,2016-08-28 15:00:00+00:00,1472396400000,1472410801000,190.9496542185339,474,1.7337167958598498,B6
240,40.30229161724723,19.0,0.0003925669997368629,298415.3865409967,477,16615.39113835538,110166.36314509854,480,44.121579261164136,342.7548633665135,480,0.857760688729877,14.580176836120941,452.0,0.0017662627652661864,15.295140250302751,462.0,0.0019988231981134027,2016-09-26 08:00:00+00:00,1474876800000,1474891201000,177.71518872774467,480,1.2316563953968138,B6
241,40.30188724707766,18.0,0.00031696568791410946,661487.2482332728,464,48880.852617535755,110054.80162162245,482,58.29393877371758,338.964167669568,482,0.540453857989663,14.553499303517006,448.0,0.0072122179853927266,15.15261282808718,458.0,0.004091914154163704,2016-09-30 16:00:00+00:00,1475251200000,1475265601000,183.4309426651951,481,0.4011883549530809,B6
242,43.250944462964426,245.0,0.0010517012854795863,1129446.892599582,469,36166.64862968129,110193.93871162442,479,328.4564011443374,349.2509220493379,479,0.5594551034469084,14.109832885222481,453.0,0.0028404593007206893,14.588127388781743,464.0,0.004627730049109485,2016-10-12 07:00:00+00:00,1476255600000,1476270001000,195.0360264568408,478,0.6240660895260801,B6
243,43.24766758242807,264.0,0.0021627493804506504,538363.4765320476,469,90621.0930627067,96332.22228492788,479,412.6673832750971,322.69130971902104,479,0.5673543831565633,13.82842349607958,454.0,0.002886188882481682,14.152736483965672,463.0,0.0028477393636701406,2016-10-16 20:00:00+00:00,1476648000000,1476662401000,180.95111721657096,479,0.8914807216120402,B6
244,43.2510187098518,241.0,0.0021192495056796368,486583.9132513266,467,29422.333405865644,109980.0236507213,479,16.454542381130498,332.1981977207684,479,0.7858013177062837,13.672488204237242,458.0,0.006130594138676326,14.158615327766697,451.0,0.0037141378617095845,2016-11-10 17:00:00+00:00,1478797200000,1478811601000,191.0181410125804,480,1.8429374833502143,B6
245,45.20083062579523,8.0,0.00029340418286290216,588756.7109726184,470,75752.97510164478,115465.74540380792,480,91.01562500623083,330.66608398880703,479,2.7316106889844907,14.541951613802139,471.0,0.012362948581108597,14.149710620785156,465.0,0.023847827410075455,2016-12-03 09:00:00+00:00,1480755600000,1480770001000,197.38755143773673,458,3.4865344806934004,B6
246,45.34905785841566,219.0,0.0009008669593503215,153737.617258007,476,2913.93292016939,114439.8591880619,480,98.48137658300686,406.2935274836433,457,5.678956645983679,15.057901707922275,477.0,0.026356068852769345,14.859539234720655,476.0,0.039554502789483775,2016-12-22 20:00:00+00:00,1482436800000,1482451201000,246.25077454974542,434,3.1488760305345607,B6
247,45.20063007560508,6.0,0.0001863421025996649,443239.34092485736,472,41470.228438815924,114887.8001707296,479,56.41870132682274,342.2181189018661,474,4.099213762951925,14.78395174188293,473.0,0.019214314535126762,14.393259737947211,469.0,0.044091191677465044,2017-01-01 02:00:00+00:00,1483236000000,1483250401000,213.15063883169586,444,3.6402331668454666,B6
248,47.16585751951648,218.0,0.0009086026723134875,501668.70884750964,474,17338.379585687224,116907.24995623704,478,148.64944200397179,322.5415242825071,478,2.0233422980889286,14.692123273029946,472.0,0.014395535242360886,14.104617291235495,475.0,0.025385542489107155,2017-01-11 03:00:00+00:00,1484103600000,1484118001000,199.1935950541727,438,2.2226296993260455,B6
249,40.30084296314878,8.0,0.00039749538412409087,171046.64976650357,482,3668.1585401793423,117167.22968353792,481,127.90624310543379,329.5039018325535,482,2.050984076997071,14.700912232332527,472.0,0.015388089573773975,14.337654992608135,476.0,0.025616047578231427,2017-01-12 11:00:00+00:00,1484218800000,1484233201000,201.38259893446374,435,2.0628585718334573,B6
250,35.20147855717878,9.0,0.00025121399295190876,304756.85758990323,477,26991.231917591525,115006.84247958561,481,198.42570189549232,320.0357175259834,480,2.0571751685419573,14.67103374937593,468.0,0.01256205668414999,14.517551012305024,473.0,0.019033579806441995,2017-01-24 02:00:00+00:00,1485223200000,1485237601000,196.79667435272765,442,2.7236372159334072,B6
251,,0.0,,272678.29124163237,474,21366.40192884658,117491.15913997665,478,356.1941912232072,319.7969022814168,308,7.583274931290506,20.83550181883499,468.0,0.023188513779460095,20.02321469569437,460.0,0.0370471716291078,2017-02-08 22:00:00+00:00,1486591200000,1486605601000,199.5084479758024,294,4.882708306102402,B6
252,,0.0,,196003.284107222,468,5315.224336346322,115028.54539743258,474,131.86342861864642,373.5318408338196,387,5.928250763899796,21.336685601837246,460.0,0.025563898296918443,20.654223715978706,462.0,0.03188474039988042,2017-03-03 18:00:00+00:00,1488564000000,1488578401000,230.77128133918896,301,4.081499930361814,B6
253,,0.0,,150656.03441727717,448,2238.1254321702363,114570.2989361817,448,181.72139980495947,333.3653478416665,390,10.247694947940452,21.060927315602495,441.0,0.05960449985237091,20.29073810684566,437.0,0.0707215180456485,2017-03-16 08:00:00+00:00,1489651200000,1489665601000,229.6084522875183,305,3.768303987131668,B6
254,,0.0,,241616.81774196905,469,24348.863739385288,115359.89072234927,473,53.59751988708884,339.4165529673435,352,7.662511079405494,21.01698376501969,467.0,0.026875496752985503,20.251818613848357,465.0,0.04269202593097294,2017-03-22 18:00:00+00:00,1490205600000,1490220001000,233.44495849470275,307,7.439766890305768,B6
255,,0.0,,154684.63346685088,479,1985.5660455238224,115149.02677156053,484,109.74287853102926,328.5696411446746,358,6.014909177413739,20.94653426654441,471.0,0.025980980938326494,20.135872456747137,472.0,0.038549686451622406,2017-04-12 23:00:00+00:00,1492038000000,1492052401000,216.4530749218362,305,6.410079156968726,B6
256,,0.0,,203824.8149744986,478,6253.386975893387,114925.91813137534,480,70.45480490430288,328.32552099663195,374,5.012156975350237,21.057441341431804,470.0,0.023314661702492852,20.318206489487363,466.0,0.03455232074257869,2017-04-29 03:00:00+00:00,1493434800000,1493449201000,221.59503311220539,291,5.817677619884629,B6
257,100.0,1.0,0.0,167555.3884694037,477,2206.595880007151,114870.58081705279,479,82.25291937771611,356.91223987510756,418,4.794811584088607,20.96445258757041,468.0,0.016784996940666465,20.11172713023169,469.0,0.02627661837865306,2017-05-04 03:00:00+00:00,1493866800000,1493881201000,253.77623611756218,324,4.525498820574696,B6
258,,0.0,,450066.82289900765,468,20100.787574823327,114838.31593222909,479,31.95604619237689,317.48390644881056,376,5.278530058868549,20.96103740292531,474.0,0.04181382654888791,20.073766316260834,467.0,0.043673452673727964,2017-06-01 02:00:00+00:00,1496282400000,1496296801000,234.52352393831254,281,5.362925326697997,B6
259,100.0,1.0,0.0,150985.54162825726,474,2138.4853930973964,115241.94314562123,481,218.6496909738945,320.4368809805602,361,5.584404470736899,21.119415205408025,465.0,0.02280036472268484,20.284632030191332,464.0,0.03300364498732677,2017-06-13 16:00:00+00:00,1497369600000,1497384001000,227.0716448507607,283,5.0037061452696685,B6
260,100.0,1.0,0.0,0.0,1,0.0,113073.9601919433,477,419.2865906357454,334.11929396039415,367,6.6005864680887365,21.27346140248271,469.0,0.017853471149241365,20.368649892544948,461.0,0.02903057055765512,2017-07-23 10:00:00+00:00,1500804000000,1500818401000,250.9207964393499,365,4.486037671316798,B6
261,100.0,1.0,0.0,0.0,1,0.0,114074.04339467497,477,78.11543139876834,320.008872103271,355,5.846245267384304,21.16809647489061,471.0,0.028808897174546856,20.3069934163498,463.0,0.044106813521002486,2017-08-03 12:00:00+00:00,1501761600000,1501776001000,235.90434589129885,302,5.196265655545938,B6
262,,0.0,,,0,,114028.55226175657,478,636.2754504317106,321.9834765547788,310,7.3952480115167045,21.191807198228613,468.0,0.040054576979776005,20.240115054223146,464.0,0.057377549065355055,2017-08-16 16:00:00+00:00,1502899200000,1502913601000,239.75036036735824,320,4.615074111644403,B6
263,28.0,1.0,0.0,239640.58414015674,480,48036.68525034495,85660.43582295989,474,968.0052896769504,88.70463347164592,224,2.6909524406750474,14.421389460994627,459.0,0.022337587619446684,15.271207581429703,460.0,0.04698111574951475,2016-04-16 19:00:00+00:00,1460833200000,1460847601000,58.450414937759334,205,1.5969553557179794,C4
264,28.0008367943401,16.0,0.00012181125004571225,121833.5413900415,875,980.9262412320008,104865.17071027581,825,2039.7055616901034,30.761756569847854,260,3.564430323919601,14.398594860427632,672.0,0.010069495743012975,14.615224677120025,604.0,0.02515299512712246,2016-04-25 07:00:00+00:00,1461567600000,1461582001000,20.628423236514525,150,1.112987161930296,C4
265,25.299999237060547,1.0,0.0,144802.16798063624,478,2261.7150207190894,103691.74709543568,476,88.84719704886895,147.65124481327803,182,9.527216626214852,21.40229646648444,462.0,0.01465651135272067,23.086063076243768,465.0,0.06487260476972763,2016-08-08 20:00:00+00:00,1470686400000,1470700802000,126.67641770401107,222,3.4545599689638395,C4
266,25.299999237060547,1.0,0.0,146557.6464379085,477,4349.156820203919,104921.47386846406,477,1069.7004137483266,141.48305555555555,170,4.7419959083716074,21.36881464193849,460.0,0.016277347122573775,22.915813309980766,465.0,0.05490851727863246,2016-08-09 06:00:01+00:00,1470722401000,1470736801000,106.1417361111111,184,2.878479048815899,C4
267,25.299999237060547,1.0,0.0,150425.40746887968,659,1835.453639223269,103847.9766548113,634,433.7676132816471,124.4803814515542,521,3.4396705684338884,14.36972791383069,618.0,0.017713473143643625,15.602361903447827,601.0,0.04042951450614081,2016-08-16 00:00:00+00:00,1471305600000,1471320001000,72.97704011065007,284,2.1132162128578442,C4
268,,0.0,,355457.0779084064,476,61954.27758773371,108585.73508199959,473,355.6613513241398,54.57019363762103,232,3.199992023435341,14.296836409006305,428.0,0.026186617439801243,15.29665118243556,421.0,0.029635850557413898,2016-08-23 17:00:00+00:00,1471971600000,1471986001000,34.78272629475949,162,2.313090360579614,C4
269,25.299999237060547,1.0,0.0,126973.62875226919,480,458.85381233011884,105151.51813353648,480,113.01057167952594,45.58962120277753,224,2.8036884222901217,13.843595255547925,434.0,0.015969165571362593,14.273856779285817,410.0,0.01770228542336839,2016-09-16 07:00:00+00:00,1474009200000,1474023601000,23.06392526692539,96,4.585577567576614,C4
270,,0.0,,140499.25852189228,493,1391.5054923876073,124718.30296345522,493,89.41544249136157,47.91150771044762,207,1.9229731498011906,21.349531167638418,472.0,0.010861923973626153,21.610590874340854,450.0,0.018780793876275712,2016-10-02 14:00:00+00:00,1475416800000,1475431201000,24.581890158963237,90,1.331649230533495,C4
