Unnamed: 0,choke,choke_num,choke_sem,gas,gas_num,gas_sem,gaslift_rate,gaslift_rate_num,gaslift_rate_sem,oil,oil_num,oil_sem,prs_dns,prs_dns_num,prs_dns_sem,prs_ups,prs_ups_num,prs_ups_sem,time,time_ms_begin,time_ms_end,water,water_num,water_sem,well
2246,,0.0,,167204.01963552475,9195,327.77515200338723,105197.55986503717,8693.0,1985.7490336319765,351.0912172531192,8985,1.6845217594578967,19.47241590059315,1158.0,0.08421929590725577,20.54559574987219,799.0,0.05982061716284146,2017-03-14 11:00:00+00:00,1489489200000,1489503601000,178.0418602124289,8607,1.2911726630371216,B5
2247,,0.0,,160223.69150350106,6966,234.98224322938785,102355.26448986428,6713.0,582.1099159676651,315.68928786366143,6841,0.6928899247613973,19.129709249710146,1130.0,0.056006981783082686,19.992666535753433,815.0,0.0510926585649639,2017-04-06 15:00:00+00:00,1491490800000,1491505201000,148.85720604016737,6848,0.8025484337609654,B5
2248,,0.0,,155404.51702244338,5084,565.2986668145155,104936.45194826245,5015.0,33.802730880147216,267.0906777979428,5049,1.3675474764885018,18.504162311122265,1022.0,0.016479546908967583,19.346442210525893,734.0,0.018502519531611077,2017-04-26 22:00:00+00:00,1493244000000,1493258401000,150.5790041143963,4717,0.4624313440816598,B5
2249,,0.0,,121661.04252139525,4362,385.04974560488176,104993.46237087225,4395.0,9.004191359257412,369.55387285688937,4375,0.9848000000155438,18.661218301224352,1200.0,0.008835620986926335,19.57833610530711,795.0,0.011690512786281007,2017-05-28 03:00:00+00:00,1495940400000,1495954801000,239.78375506236182,4364,0.9698787819158682,B5
2250,,0.0,,144189.06554314704,4278,584.7063451406781,105040.6147505125,4516.0,56.74119991626998,351.06970268713815,4492,2.0658226937523256,18.94444600591576,913.0,0.027420002669066496,19.797008363429423,736.0,0.03575712101707658,2017-06-08 17:00:00+00:00,1496941200000,1496955601000,184.6604773729174,3281,2.090236672432318,B5
2251,,0.0,,145446.00645530777,5430,716.0616315263328,105171.03816468382,5813.0,131.88244891657322,322.10932910016965,5795,1.8870648921051905,18.648082559237338,322.0,0.03399749954601095,19.427244678109094,356.0,0.037755222318638884,2017-06-18 02:00:00+00:00,1497751200000,1497765601000,172.39109603590327,3541,2.878656325344469,B5
2252,,0.0,,142500.64380645962,7528,700.2254998387401,104985.04023194373,7469.0,63.038024343667814,267.23199848238363,7719,1.843287829548451,18.2600358495206,751.0,0.030037314933832243,18.989940798793754,696.0,0.03981374428168141,2017-07-16 19:00:00+00:00,1500231600000,1500246001000,157.8657746719292,4012,2.261580750111184,B5
2253,,0.0,,137544.39788370935,7856,1066.2432124697807,105004.55362016987,8120.0,23.601489919455403,239.1714350605407,8429,1.6896836707116565,17.98582598783828,700.0,0.03391998149426819,18.68046985494177,635.0,0.04425061501189399,2017-08-05 18:00:00+00:00,1501956000000,1501970401000,150.05102700646324,4566,3.4356590970865613,B5
2254,,0.0,,132568.92676143808,3119,1079.9581327096573,105029.42767494381,3392.0,61.253759319648715,228.85857546847225,3367,1.4291419023664094,17.891882131017265,733.0,0.03760152421623625,18.552022111974107,689.0,0.047520068452093736,2017-08-24 13:00:00+00:00,1503579600000,1503594001000,147.87269696477043,1700,1.947317566460973,B5
2255,,0.0,,130470.8149588304,3053,960.3140357376144,105085.59705383387,3344.0,42.83835692217768,213.3344537166474,3317,1.6135551113716675,17.823557765190362,708.0,0.03573272174306786,18.430543348634227,662.0,0.04294712071922396,2017-09-08 14:00:00+00:00,1504879200000,1504893601000,141.22905928861056,1566,2.2311205641478526,B5
2256,,0.0,,128989.51246272045,3367,782.1309108145081,104735.10147821576,3645.0,259.64970535079084,208.61135557894886,3600,1.196566070973602,18.086327057029862,721.0,0.06318385307354134,18.69852368947549,661.0,0.061350871039337875,2017-09-24 01:00:00+00:00,1506214800000,1506229201000,145.78159073622558,1561,2.124115176229405,B5
2257,,0.0,,133894.3805670816,3735,179.6587699029187,104599.11122439057,3720.0,167.02809321420278,268.94926671071664,3691,0.5521934650447461,20.38823765710691,176.0,0.019740511584940643,21.572372484141198,388.0,0.05318369225606786,2017-11-04 08:00:00+00:00,1509782400000,1509796801000,464.6985820363996,3719,2.4792521054568053,B5
2258,,0.0,,133317.71215134294,1924,44.12209427799405,105268.32811101068,1870.0,142.51269489457408,284.9372451277804,1915,0.19681433548119528,19.359303679348024,663.0,0.006066947042888949,20.38318343438393,364.0,0.03818093843323627,2017-11-05 18:00:00+00:00,1509904800000,1509912001000,335.47754844476367,1919,1.1441572418395516,B5
2230,,0.0,,123883.76703598489,588,45.475317314416436,49999.84158972539,588.0,8.552178507337212,512.73990842877,585,0.8561058204343136,,0.0,,,0.0,,2016-08-05 12:00:00+00:00,1470398400000,1470405000000,270.25939422376234,584,1.1439991642167522,B5
