;W1_oil_X;W1_oil_mean;W1_oil_var;W2_oil_X;W2_oil_mean;W2_oil_var;W3_oil_X;W3_oil_mean;W3_oil_var;W4_oil_X;W4_oil_mean;W4_oil_var;W5_oil_X;W5_oil_mean;W5_oil_var;W6_oil_X;W6_oil_mean;W6_oil_var;W7_oil_X;W7_oil_mean;W7_oil_var
14;14;0.7555491328239441;6.339627742767334;14;-0.071566194;0.08204751;14;1.7666537761688232;2.879449844360352;14;6.626983165740968;1.9443472623825075;14;3.934482;1.2217082;14;0.7847915291786194;1.4311860799789429;14;0.13906030356884005;1.5770423412322998
15;15;0.832291841506958;6.410995006561277;15;-0.06764629;0.10486668;15;2.375528812408448;2.597495079040528;15;6.70299243927002;1.9534002542495728;15;apr.45;1.2346853;15;1.1888951063156128;1.745249629020691;15;0.1499926745891571;1.6281453371047974
16;16;0.9090341925621032;6.535365104675293;16;-0.03671819;0.16689569;16;2.984403133392334;2.8816983699798584;16;6.779002666473389;1.904645323753357;16;4.89001;1.2655162;16;1.729513168334961;1.6121039390563965;16;0.16092509031295776;1.333510398864746
17;17;0.9857766032218932;6.577299118041992;17;0.014707538;0.17708625;17;3.594604015350342;3.478266716003418;17;6.855013370513916;1.5790860652923584;17;5.4251328;1.2976576;17;2.351762056350708;1.6162912845611572;17;0.17185750603675842;1.7941882610321045
18;18;1.062519073486328;6.682978630065918;18;0.18018648;0.32581678;18;4.212519645690918;2.301885843276977;18;6.936471462249756;1.7313274145126345;18;5.966364;1.317372;18;3.0292475223541264;1.720026612281799;18;0.1827898919582367;2.073538303375244
19;19;1.1392616033554075;6.813625812530518;19;0.37257499;0.41041267;19;4.832104206085205;5.318662166595459;19;7.039012908935548;1.914597749710083;19;6.4088683;1.3756641;19;3.7090890407562256;1.8160500526428225;19;0.7804088592529297;1.931905627250672
20;20;1.5635852813720703;6.49794340133667;20;0.6010354;0.45616245;20;5.453955173492432;2.58203125;20;7.141555309295652;1.6872323751449585;20;6.921807;1.4385101;20;4.388930797576903;1.6162606477737431;20;1.5618259906768799;1.8864294290542605
21;21;2.1310796737670903;6.3074584007263175;21;0.80618805;0.5378542;21;6.075807571411133;3.2030057907104488;21;7.2440972328186035;1.920031189918518;21;7.549021;1.4361295;21;5.068771362304688;1.7799663543701172;21;2.343242883682251;1.5741755962371826
22;22;2.698573350906372;6.033580303192139;22;1.1061063;0.57458115;22;6.697658538818359;2.2705395221710205;22;7.346640110015869;1.9553580284118648;22;8.02342;1.4691682;22;5.764248371124268;1.8243528604507449;22;3.124660015106201;1.8075122833251955
23;23;3.266066789627075;5.828694820404053;23;1.6000149;0.7104716999999999;23;7.319509506225586;3.09146785736084;23;7.44918155670166;1.797610878944397;23;8.4897585;1.521506;23;6.466687679290772;1.8481026887893683;23;3.906077146530152;1.829248189926148
24;24;3.833560466766357;5.681811809539795;24;2.355079;0.77717656;24;7.934945583343506;3.3394501209259038;24;7.551723003387451;1.7423527240753174;24;9.042463;1.5281508;24;7.16912841796875;1.9030394554138184;24;4.68749475479126;2.4108848571777344
25;25;4.401054382324219;5.470907688140869;25;4.1159244;0.9887302;25;8.543647766113281;2.504406452178955;25;7.654265403747559;1.549141526222229;25;9.5684185;1.5978847;25;7.871568202972412;1.9666290283203125;25;5.468911170959473;2.99342942237854
26;26;4.968547821044922;5.192086219787598;26;5.1090183;1.105172;26;9.145456314086914;3.069933652877808;26;7.764965057373048;1.885248064994812;26;10.114477;1.6191046;26;8.574007987976074;2.015227794647217;26;6.240272045135497;2.7956135272979736
27;27;5.536042213439941;5.095289707183838;27;5.8011184;1.3339131000000002;27;9.745203971862793;3.082850217819214;27;8.189767837524414;1.8450173139572144;27;10.652298;1.7097781;27;9.276448249816896;2.1017279624938965;27;7.005949020385742;2.585232973098755
28;28;6.103536128997803;4.903132438659668;28;6.264819;1.374875;28;10.344953536987305;2.445373296737671;28;9.389596939086914;1.6653578281402588;28;11.213505;1.6889066;28;9.978888511657717;2.1866159439086914;28;7.771625518798827;3.2320547103881836
