scenarios;tot_cap;tot_oil;tot_gas;W1_indiv_cap;W2_indiv_cap;W3_indiv_cap;W4_indiv_cap;W5_indiv_cap;W6_indiv_cap;W7_indiv_cap;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_changed;W2_changed;W3_changed;W4_changed;W5_changed;W6_changed;W7_changed
10.0;250000.0;139.69244544473148;231795.32007635216;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;55.23013542825242;39.47541542338961;47.84;62.6;50.34;39860.81065434914;5078.406645364158;39821.19437031467;22326.930564369533;35233.74429395013;48404.1854777643;41070.04807024023;28.753332987124306;7.1296215;22.630156908611184;16.330230176193616;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;139.65579211725674;233404.4320234153;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;56.05947534256183;38.46118784433039;47.84;62.6;50.34000000000001;39497.64445808477;4291.12938215364;43524.379181377335;19852.147985891374;36709.27613777699;48726.43613520705;40803.418742924165;28.75333298712431;7.1296215;23.079559334368053;15.844174422962006;21.559025159999997;24.754239660723673;18.535839052078696;0.0;1.0;1.0000000000000002;1.0;2.498001805406602e-16;0.0;0.0
10.0;250000.0;138.22160430287147;231968.16005247063;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;57.12566529550755;34.262987534807365;47.84;62.6;50.34;39362.521428121865;5339.221433075846;42347.26820038839;13408.216997205172;41811.59940057432;47615.08437819749;42084.24821490754;28.753332987124306;7.1296215;23.657305977094634;13.832239965850148;21.559025160000004;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;145.0458517387823;240477.92068171923;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;65.33864714264502;38.14135335706082;47.84;62.6;50.34000000000001;39943.93105182736;3702.1398827448015;48296.48954679408;20254.677754134253;36928.63450479161;48254.672556630816;43097.375384796316;28.753332987124306;7.1296215;28.62289559303993;15.690897785815679;21.55902516;24.754239660723677;18.535839052078693;0.0;1.0;1.0;1.0;0.0;1.024388940915142e-16;0.0
10.0;250000.0;142.5119800817937;237020.03182808482;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.000000000000174;64.29770613312954;34.240648696880626;47.84;62.60000000000004;50.34;40395.7775511058;6248.70078922467;47819.61429555142;12877.728814927606;39037.663218587615;47805.85040993999;42834.69674874775;28.753332987124306;7.129621500000033;27.958387361858122;13.821534360008833;21.55902516;24.75423966072369;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;138.2410050043373;231259.70701630085;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;58.04132153482399;33.26812607634106;47.84;62.6;50.34;39445.27133254719;5152.070293593437;47408.43201403068;10927.79560836281;38348.11502252122;47672.94442696061;42305.07831828491;28.753332987124306;7.129621500000001;24.153481463174874;13.355465181235754;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;141.7797929593595;235577.97234405234;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;63.76688572341854;33.41991571753295;47.84;62.6;50.34;39895.85409988988;5470.451207389944;48989.60567636367;11500.239057973838;41255.657258382125;47100.13408088301;41366.03096316988;28.753332987124306;7.1296215;27.619526150408266;13.428208449024545;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0000000000000002;1.0;2.220446049250313e-16;0.0;0.0
10.0;250000.0;139.19772536913658;238716.87831554218;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;56.823151096393914;36.64186580543391;47.84;62.6;50.34;40043.1183868314;5978.137712249241;44249.02917838405;17381.25239968383;39946.78848008285;47543.75288071763;43574.79927759321;28.753332987124306;7.1296215;23.49337968756982;14.972287321640081;21.559025160000004;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;141.01145413377395;239165.5340558855;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.00000000000001;57.85320921219176;39.2617809437852;47.84;62.6;50.34;39857.957354387756;3789.824100291297;44428.6126370764;21667.65251531121;38937.81271590618;47947.98193910316;42535.692793809474;28.75333298712431;7.1296215;24.05154722288683;16.227848550960463;21.55902516;24.754239660723673;18.535839052078693;0.0;1.0;1.0;1.0;2.2027176496642806e-16;0.0;0.0
10.0;250000.0;145.65606388066382;244051.8738419882;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;65.71073751969772;38.91900523197365;47.84;62.6;50.34;39320.525539762704;5698.766557234805;48986.77043243193;21952.30658099071;37837.96688391473;48297.98325963714;41957.554588016166;28.75333298712431;7.1296215;28.860427898938944;16.063577621798185;21.55902516000001;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
