scenarios;tot_cap;indiv_cap;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean
20.0;250000.0;54166.0;88.50574294256383;187576.10393621103;56.133919264140886;0.0;33.07906767273103;31.14093352961311;30.950534180828097;36.599411839659155;34.24606589153127;38143.827052302906;1.5425030142068862e-10;28426.757547073375;25874.19341705163;24319.653553047527;36827.080434331954;33984.59193240349;21.073022528989416;8.094948322767692e-13;13.621942051348036;14.538648441778331;10.998663461097687;14.533602450511218;13.73986400883833
20.0;250000.0;54166.0;85.97878737968749;207005.45348109226;56.133919264140886;33.169024752325264;0.0;31.140933529613232;32.19972946154253;36.59941183965918;34.2460658915312;37632.34725052006;38731.60082840296;0.0;30330.403031573;24452.141736122623;37319.646032697;38539.31460177663;21.073022528989412;10.34911912389781;0.0;14.538648441778335;11.74453082567244;14.53360245051124;13.739864008838255
20.0;250000.0;54166.0;89.53219595251014;201806.14048425262;56.13391926414088;0.0;33.24883479049702;31.140933529613505;33.99308834214218;36.599411839659155;33.286230950483294;38603.08742299707;0.0;31829.11090861284;26929.7000387479;27924.2386431448;38163.46308514209;38356.54038560792;21.073022528989412;0.0;13.741988362152375;14.53864844177835;12.817814107901327;14.533602450511241;12.827120061177425
20.0;250000.0;54166.0;78.2789484133117;169906.87102786778;56.133919264140886;0.0;35.25841183528258;31.140933529613104;0.0;36.599411839659176;33.455782531924655;37692.857571296714;2.492200832972457e-10;29648.360163706482;30367.770747110637;0.0;38829.491665806345;33368.39087994733;21.073022528989416;0.0;15.163007424490033;14.53864844177834;0.0;14.533602450511244;12.970667567542668
20.0;250000.0;54166.0;98.37499654795387;224892.76757632056;56.133919264140886;24.556385934625787;40.40415563251173;31.140933529613108;33.993088342142194;36.599411839659155;34.246065891531266;38757.48894308204;16125.89255190011;32918.34891196374;27349.29933094749;32238.9991452021;41281.53218748992;36221.20650573517;21.073022528989416;3.176967173360033;18.4950778365745;14.538648441778394;12.817814107901274;14.533602450511207;13.739864008839044
20.0;250000.0;54166.0;91.91164257612806;211807.6388125072;56.13391926414089;33.169024752325264;36.3985011827196;31.140933529613505;0.0;40.94493965099497;34.24606589153129;40222.62441678295;38543.381238715716;33654.19883029669;25008.308946247314;0.0;37830.56727369898;36548.558106765544;21.073022528989412;10.349119123897808;15.96919134248439;14.538648441778365;0.0;16.241797130139688;13.73986400883839
20.0;250000.0;54166.0;93.17811755989969;217935.19837109488;56.133919264140886;25.128327394854175;31.244831374626685;31.140933529613132;33.993088342142194;36.59941183965929;34.246065891531266;38719.11226139798;20373.984377222565;27285.078626848368;26494.126962785773;27599.25669760278;41161.77713044123;36301.86231479618;21.073022528989412;4.14713888228915;12.32802713959186;14.538648441778351;12.817814107901334;14.533602450511255;13.739864008838333
20.0;250000.0;54166.0;95.11768244537464;222572.1302311007;50.271419282711626;33.169024752325264;31.704055657488567;31.140933529613108;33.99308834214218;36.599411839659155;32.04637601931575;35086.06355018498;38434.09149735783;30877.46376115723;23490.02584859625;25180.3029504503;38742.56644538343;30761.61617797062;18.400879648487013;10.349119163844849;12.649638804914728;14.53864844177834;12.817814107901343;14.533602450511214;11.827979827937156
20.0;250000.0;54166.0;97.46179260752673;222300.53468464976;50.271419282711804;33.169024752325264;33.9849903791996;31.140933529613086;32.01968319043242;36.59941183965917;34.246065891531266;32798.48956065731;38378.67446064415;28726.93928450172;26411.53208065389;25179.14629422351;38043.35794791458;32762.395056054607;18.400879648487035;10.34911912389781;14.262541245211603;14.538648441778317;11.637137688802476;14.533602450511221;13.739864008838278
20.0;250000.0;54166.0;95.3575498365305;211644.19272589067;50.27141928271164;33.169024752325264;32.36978290470181;31.14093352961311;33.9930883421423;36.599411839658465;31.84168122836391;33779.77137167299;39722.39769139792;24086.385604214087;26618.367238137278;20979.121297298578;37191.14759648843;29267.001926681387;18.40087964848704;10.349119123897808;13.120390155833213;14.538648441778328;12.817814107901341;14.533602450510934;11.597095908121837
30.0;250000.0;54166.0;89.62285144605701;211669.31847461758;50.27141928271151;33.169024752325264;33.90527279845854;39.79650730632339;0.0;36.599411839659275;34.246065891531266;35362.24942132458;38500.24349774794;31819.546522838915;35785.24167320595;0.0;39211.6872611785;30990.350098321684;18.400879648487056;10.34911916344645;14.206171074119917;18.39321510065407;0.0;14.53360245051126;13.73986400883826
30.0;250000.0;54166.0;94.49118497213843;198164.40037238054;56.13391926414089;0.0;34.88761906978051;31.140933529613505;37.22735708641885;36.59941183965914;34.246065891531266;37495.780959429074;0.0;31751.277537358103;25482.90055110687;31993.102429307903;37215.17116129659;34226.167733882;21.073022528989416;0.0;14.90081116318095;14.538648441778363;15.70523637884008;14.533602450511225;13.739864008838401
30.0;250000.0;54166.0;91.52388281712993;208455.58362319035;56.133919264140886;33.169024752325264;0.0;31.140933529613086;42.3773899012757;36.599411839659155;34.24606589153121;38142.61799983737;39387.435580556536;0.0;25228.977517496005;31042.563438870886;40480.59871319195;34173.39037323761;21.073022528989412;10.349119123897808;0.0;14.538648441778314;17.289626263114837;14.533602450511214;13.739864008838358
30.0;250000.0;54166.0;84.6595270600049;193327.6128543056;56.133919264140886;26.95692798730192;35.42946002227152;31.140933529613104;0.0;36.59941183965918;34.246065891531266;40845.429079209374;22278.358039802864;28239.696772397627;28469.88804328864;0.0;40648.90999121629;32845.330928390795;21.073022528989412;5.490430020498641;15.283959609388978;14.538648441778356;0.0;14.533602450511246;13.739864008838266
30.0;250000.0;54166.0;92.56884881206548;195752.90871867852;56.133919264140914;0.0;33.292778108388674;31.140933529613125;33.993088342142165;41.923439155709794;34.24606589153125;38559.89087298581;0.0;25531.588715806076;27615.989248655555;26984.385508948366;41738.27787761386;35322.77649466884;21.073022528989434;0.0;13.77306171290966;14.538648441778353;12.817814107901258;16.626438011648432;13.739864008838351
30.0;250000.0;54166.0;86.01093410370888;199610.65256047406;50.271419282711626;33.169024752325264;34.304556300831095;31.140933529612607;0.0;36.4984345715634;34.24606589153125;35557.419336302664;39246.73510581997;30693.045809664178;27088.251992212034;0.0;33880.26174360845;33144.938572866755;18.400879648487003;10.34911916384485;14.488513803711005;14.538648441778257;0.0;14.493909037049526;13.73986400883824
30.0;250000.0;54166.0;74.18938441908676;164099.61933946118;50.271419282711626;0.0;33.7702508547277;31.14093352961317;0.0;36.38394157897569;33.12201559903108;36647.83691729284;0.0;29957.75837098049;25715.119173277857;0.0;37710.145756091806;34068.7591218182;18.400879648487056;0.0;14.110693890812481;14.538648441778363;0.0;14.448902692760832;12.690259745248033
30.0;250000.0;54166.0;77.02645062140178;168813.31475295735;56.133919264140886;1.7222130722974127e-12;34.38829168952645;31.140933529613115;0.0;36.599411839658515;32.67846511645557;38004.49917061926;1.060513704799002e-09;34899.82855453716;26558.794956149297;0.0;37208.625656555574;32141.566415094967;21.073022528989412;2.6459390234379043e-12;14.547725061043536;14.538648441778347;0.0;14.533602450510934;12.333452139076913
30.0;250000.0;54166.0;87.79433624290793;193607.72517172428;50.271419282711626;0.0;35.052799188147695;31.140933529613235;33.714540690472525;36.599411839659176;33.07911237386516;33463.71839130036;0.0;31281.85520648475;27440.82915107912;29281.393143197427;38305.68962828988;33834.23965137273;18.40087964848698;0.0;15.017613899123821;14.538648441778347;12.648361675582322;14.533602450511228;12.655230127425233
30.0;250000.0;54166.0;71.00543292279797;177592.9839795638;50.271419282711626;33.169024752325264;0.0;31.14093352961351;0.0;36.5690490084709;33.72089363608956;37361.85697299989;39969.21327440919;0.0;28932.93688322465;-1.223081821007573e-13;38785.103990914045;32543.872858016028;18.40087964848705;10.34911912389781;0.0;14.538648441778358;0.0;14.52166704727689;13.195118661357855
30.0;250000.0;54166.0;87.35328715942099;198512.33499975974;50.27141928271164;0.0;36.37822006369457;31.140933529613108;31.374469657177833;36.599411839659155;33.10105524033113;37031.69037463284;0.0;32664.83545814023;27028.325673868763;25962.656897594155;39748.609615829046;36076.216979694706;18.400879648487;4.846331669305926e-13;15.954850087534487;14.53864844177833;11.252193794099377;14.53360245051123;12.673112737010081
