n;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
5.070380926132202;1.2179340521494548;-4.209498763084412;-3.372128963470459;0.15000000000000002;5,00E-06;{'dropout': 0.15000000000000002, 'regu': 5e-06};18;-4.0139241218566895;-2.5481767654418945;-4.061300754547119;-3.772214412689209;-4.725157737731934;-3.7959957122802734;0.19684159351857505;0.06729028219570163;0.29842181269689017;0.5827030724875446
3.5083436965942383;0.7199714183807373;-4.239175230264664;-3.6033057371775308;0.1;5,00E-06;{'dropout': 0.1, 'regu': 5e-06};19;-4.514951229095459;-3.254988431930542;-3.2326786518096924;-2.996901035308838;-5.335256099700928;-4.558027744293213;0.03809411180567544;0.012406908941832996;0.8418766118474825;0.6832631797616442
6.896647294362386;1.9027286370595295;-4.309993356466293;-3.7032405535380044;0.2;0.0005;{'dropout': 0.2, 'regu': 0.0005};20;-3.6566696166992188;-2.365549087524414;-3.4799273014068604;-3.2119498252868652;-6.535078048706055;-5.532222747802734;0.2050952185780515;0.01918413460606333;1.2869308678691196;1.3386511749828072
6.463920911153157;1.6248305638631184;-4.327618807554245;-3.717956860860189;0.15000000000000002;0.1;{'dropout': 0.15000000000000002, 'regu': 0.1};21;-5.509885787963867;-4.52855920791626;-3.3844964504241943;-3.145310878753662;-3.9689018726348877;-3.4800004959106445;0.6629895161899028;0.018067767978269814;0.9433358799529044;0.5892432484397707
2.8919939200083413;0.46004287401835126;-4.373818010091782;-3.7719759146372476;0.05;0.001;{'dropout': 0.05, 'regu': 0.001};22;-5.650363445281982;-4.717511177062988;-3.560518980026245;-3.3216240406036377;-3.678948402404785;-3.276792526245117;0.03343119710248065;0.009701251800699398;0.9898710916456247;0.6688448577150534
5.100732803344727;1.2935720284779866;-4.390591084957123;-3.511959513028463;0.15000000000000002;1,00E-05;{'dropout': 0.15000000000000002, 'regu': 1e-05};23;-4.759768009185791;-3.5372684001922607;-5.527902126312256;-5.107283592224121;-2.130859136581421;-1.8913265466690063;0.09410193446033903;0.024368901086686285;1.3463878051815812;1.3130309299583662
6.468204418818156;1.833236296971639;-4.418085306882858;-3.7786571184794107;0.2;5,00E-05;{'dropout': 0.2, 'regu': 5e-05};24;-4.289945125579834;-2.980897903442383;-3.5795657634735107;-3.3209309577941895;-5.868074893951416;-5.03414249420166;0.05794245520325055;0.010838084914912375;0.8918761403248401;0.8985500416420085
4.3071525891621905;1.030901273091634;-4.469197362661362;-3.964204788208008;0.1;0.01;{'dropout': 0.1, 'regu': 0.01};25;-6.636293411254883;-6.0636796951293945;-2.9488322734832764;-2.755535840988159;-3.499100923538208;-3.0733988285064697;0.03643649482436919;0.019898516002142486;1.692100029071208;1.4902137169553769
6.065504153569539;1.7140886783599854;-4.579445123672485;-3.9085280895233154;0.2;1,00E-06;{'dropout': 0.2, 'regu': 1e-06};26;-4.6477580070495605;-3.4796040058135986;-4.0953450202941895;-3.787214756011963;-5.203125953674316;-4.458765506744385;0.024276262367735894;0.027677107742723108;0.4322924698340878;0.4088414565508941
5.42309586207072;1.4235203266143799;-4.588424026966095;-3.7256623903910318;0.15000000000000002;0.001;{'dropout': 0.15000000000000002, 'regu': 0.001};27;-4.158097743988037;-2.8419368267059326;-5.868213653564453;-5.4288201332092285;-3.3142290115356445;-2.9062302112579346;0.0347771549809194;0.023090014756438206;1.0438074816032314;1.2046003853326819
