alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
0.35;34.82588690982369;41865.42918452338;72.98409504338316;0.0;0.0;8.808251781668961;0.0;0.0;0.0;41144.28580009367;0.0;0.0;721.1433844445619;0.0;-2.3401298676617444e-09;-1.2508508007158525e-08;28.753376880605135;0.0;0.0;6.072505925886637;0.0;4.103331917082182e-06;0.0;75.49658237084564;0.0;0.0;7.431078364066564;0.0;0.0;0.0;4450412.336549653;0.0;0.0;0.0;0.0;0.0;0.0
0.36;35.218888663178774;41791.71493059363;72.98409504338316;0.0;0.0;11.875672657999024;0.0;0.0;-2.1688038518347683e-16;41144.28580009363;4.225951473927125e-10;0.0;647.429130501946;0.0;-2.362185114179738e-09;0.0;28.753376880605135;0.0;0.0;6.465511782573641;0.0;0.0;0.0;75.49658237084563;0.0;0.0;5.172717637800407;0.0;0.0;0.0;4450412.336549651;0.0;0.0;0.0;0.0;0.0;0.0
0.37;35.29413143504168;41690.10910319346;72.98409504338316;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.28580009363;0.0;0.0;545.8233030998208;0.0;4.092726157978177e-12;2.5011104298755527e-12;28.753376880605135;0.0;0.0;6.540754554436539;0.0;0.0;0.0;75.49658237084564;0.0;0.0;4.599323243927456;0.0;0.0;0.0;4450412.336549649;0.0;0.0;0.0;0.0;0.0;0.0
0.38;35.2941314350418;41690.1091031933;72.98409504338316;0.0;0.0;12.865577366014126;0.0;0.0;0.0;41144.28580009361;0.0;0.0;545.8233030996389;0.0;4.092726157978177e-12;4.205702452964033e-11;28.75337688060512;0.0;0.0;6.540754554436676;0.0;0.0;0.0;75.49658237084564;0.0;0.0;4.599323243926981;0.0;0.0;0.0;4450412.336549652;0.0;0.0;0.0;0.0;0.0;0.0
0.39;35.28882411110313;41697.27597152332;72.98409504338316;0.0;0.0;12.79575345039041;0.0;0.0;0.0;41144.28580009363;7.275957614183426e-12;0.0;552.9901714476455;0.0;-2.6662405616662e-09;-1.5304067346733063e-08;28.753376880605135;0.0;0.0;6.535447230497995;0.0;0.0;0.0;75.49658237084564;0.0;0.0;4.618113396657732;0.0;0.0;0.0;4450412.336549653;0.0;0.0;0.0;0.0;0.0;0.0
0.4;38.973843658068944;83721.32749539222;72.98409504338316;36.6292373504624;0.0;0.0;0.0;0.0;0.0;41144.285800093625;42577.04169531323;0.0;0.0;0.0;0.0;-1.4628994904342107e-08;28.75337688060514;10.220466777463805;0.0;0.0;0.0;0.0;0.0;75.49658237084564;2.1902053261097185;0.0;0.0;0.0;0.0;0.0;4450412.336549651;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.41;38.97384365806894;83721.32749540685;72.98409504338316;36.6292373504624;0.0;5.421610850954497e-12;0.0;0.0;0.0;41144.285800093625;42577.04169531323;0.0;0.0;0.0;0.0;5.402055774084147e-12;28.75337688060513;10.220466777463807;0.0;0.0;0.0;0.0;0.0;75.49658237084566;2.1902053261097185;0.0;-4.481748305806832e-12;0.0;0.0;0.0;4450412.33654965;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.42;38.97384365806894;83721.32749540688;72.98409504338316;36.6292373504624;0.0;0.0;0.0;0.0;0.0;41144.28580009364;42577.04169531323;0.0;0.0;0.0;0.0;0.0;28.75337688060513;10.220466777463807;0.0;0.0;0.0;0.0;0.0;75.49658237084566;2.1902053261097185;0.0;0.0;0.0;0.0;0.0;4450412.336549645;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.43;38.97384365806894;83721.32749539692;72.98409504338316;36.6292373504624;0.0;0.0;0.0;0.0;0.0;41144.285800093625;42577.04169531323;8.498091119690798e-12;1.4910028767189942e-10;0.0;7.59010614501676e-12;-1.0103804015670903e-08;28.75337688060513;10.220466777463807;0.0;0.0;0.0;0.0;0.0;75.49658237084566;2.1902053261097185;0.0;0.0;0.0;0.0;0.0;4450412.33654965;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.44;45.50929088859748;84274.31766684818;72.98409504338316;36.6292373504624;0.0;12.795753450390547;0.0;0.0;0.0;41144.28580009361;42577.04169531323;0.0;552.9901714476315;0.0;0.0;-6.303025656961836e-09;28.753376880605124;10.220466777463807;0.0;6.53544723049801;0.0;3.0541662986143157e-11;0.0;75.49658237084564;2.1902053261097185;0.0;4.618113396657704;0.0;0.0;0.0;4450412.336549653;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.45;45.51811641065494;84266.37200711743;72.98409504338316;36.6292373504624;0.0;12.911850268435284;0.0;8.265772746299549e-11;0.0;41144.285800093625;42577.04169531323;-1.844284724938916e-10;545.0445117139743;1.432454155292362e-11;0.0;-3.214635668769006e-09;28.75337688060513;10.220466777463807;0.0;6.5442717631256775;0.0;9.894603273727898e-07;0.0;75.49658237084566;2.1902053261097185;0.0;4.586870849986857;0.0;2.5649204934806416e-11;0.0;4450412.33654965;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.46;45.04634958395559;84442.47087985525;72.98409504338316;36.6292373504624;0.0;8.808251781668925;0.0;1.566999124155565e-10;0.0;41144.285800093625;42577.04169531323;0.0;721.1433844445605;0.0;7.335813734243857e-09;-3.4858658182201907e-09;28.753376880605135;10.220466777463807;0.0;6.072505925886643;0.0;0.0;0.0;75.49658237084564;2.1902053261097185;0.0;7.4310783640665905;0.0;-1.4920330822781953e-10;0.0;4450412.336549653;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.47;44.91775280257252;84481.5168123501;72.98409504338316;36.6292373504624;0.0;9.547293682578989;0.0;7.347019443085376e-10;0.0;41144.285800093625;42577.04169531323;0.0;760.1893169516806;-7.840981197659858e-10;1.2528289516922086e-10;-7.776423949223954e-09;28.753376880605135;10.220466777463807;0.0;5.9439038952512275;0.0;5.2492523570333855e-06;0.0;75.49658237084564;2.1902053261097185;0.0;6.886965485081028;0.0;0.0;0.0;4450412.336549647;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.48;45.514598212505845;84267.15079848675;72.98409504338316;36.6292373504624;0.0;12.865577366012353;0.0;6.854679496835246e-11;3.221258876834477e-13;41144.28580009359;42577.04169531323;0.0;545.8233030998208;-8.058974598768032e-10;-1.3519183994503692e-08;-5.5775499774313175e-09;28.753376880605135;10.220466777464171;0.0;6.540754554436543;0.0;0.0;0.0;75.49658237084564;2.1902053261097185;0.0;4.599323243927459;0.0;2.136973610718634e-11;0.0;4450412.336549653;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.49;45.54914780093593;84319.54469906919;72.98409504338316;36.6292373504624;0.0;13.320116711127628;0.0;0.0;0.0;41144.28580009354;42577.04169531323;0.0;598.2172036623579;0.0;4.092726157978177e-12;7.610975784110963e-11;28.753376880605135;10.220466777463807;0.0;6.575304142866986;0.0;0.0;0.0;75.49658237084566;2.1902053261097185;0.0;4.477003210160849;0.0;0.0;0.0;4450412.336549651;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.5;45.60274796983635;84496.85195331533;72.98409504338316;36.6292373504624;0.0;14.025288227688993;0.0;0.0;0.0;41144.285800093625;42577.04169531323;-1.844284724938916e-10;775.524457918181;0.0;-4.673774428670185e-09;-4.830788213894266e-09;28.75337688060513;10.220466777463807;0.0;6.628904311767413;0.0;0.0;0.0;75.49658237084564;2.1902053261097185;0.0;4.291101828783469;0.0;0.0;0.0;4450412.336549649;4577573.8068757225;0.0;0.0;0.0;0.0;0.0
0.51;46.0584204866123;88914.25294555885;72.98409504338316;41.29053016385951;0.0;14.025288227688993;0.0;0.0;0.0;41144.285800093625;46994.442687551884;0.0;775.524457918181;0.0;2.0817160839214922e-11;-4.840219032582809e-09;28.753376880605135;10.67613929423975;0.0;6.628904311767413;0.0;0.0;0.0;75.49658237084566;1.9399496662360924;0.0;4.291101828783469;0.0;0.0;0.0;4450412.33654965;6297892.1299156435;0.0;0.0;0.0;0.0;0.0
0.52;46.961526770663525;92988.08737880045;72.98409504338319;45.589287555383585;0.0;14.025288227689016;-5.85866161709317e-13;0.0;0.0;41144.285800093625;51068.27712080914;0.0;775.5244579181888;-8.055849320953712e-10;-4.655930752051063e-09;-1.504304947275159e-08;28.753376880605146;11.579245578290966;0.0;6.628904311767413;0.0;0.0;0.0;75.49658237084574;1.7101743477784825;0.0;4.291101828783467;0.0;0.0;0.0;4450412.336549644;8723532.825724177;0.0;0.0;0.0;0.0;0.0
0.53;47.864633054714744;98634.51728361052;72.98409504338319;47.067900810241696;0.0;20.05907606477654;0.0;0.0;0.0;41144.28580009364;52469.52521240612;2.2936319510336034e-11;5020.706271116999;0.0;-6.852774294598066e-10;-5.588852047822002e-09;28.75337688060515;11.963643551284433;0.0;7.147612622825163;0.0;0.0;0.0;75.49658237084573;1.631140152412968;0.0;3.820111548562295;0.0;0.0;0.0;4450412.3365496425;9826643.236645533;0.0;6215824.432693196;0.0;0.0;0.0
0.54;48.76773933876598;75276.91348527216;72.98409504338316;0.0;0.0;14.025288227688993;0.0;33.678613019249276;0.0;41144.28580009359;4.001776687800884e-11;0.0;775.5244579181833;0.0;33357.103227260355;-7.267964008406125e-12;28.75337688060513;0.0;0.0;6.628904311767413;0.0;13.385458146320016;7.341061092347445e-11;75.49658237084566;0.0;0.0;4.291101828783469;0.0;7.020793522760716;0.0;4450412.336549649;0.0;0.0;0.0;0.0;18113687.172371004;0.0
0.55;49.67084562281718;79541.72302425222;72.98409504338319;0.0;0.0;14.025288227688993;0.0;35.976052252059006;0.0;41144.285800093625;2.6478006707179706e-10;0.0;775.524457918181;-4.7840842398727546e-11;37621.9127662458;-5.588852047822002e-09;28.75337688060515;0.0;0.0;6.628904311767413;0.0;14.288564430444627;0.0;75.49658237084574;0.0;0.0;4.291101828783469;0.0;8.07170972020715;0.0;4450412.336549645;0.0;0.0;0.0;0.0;19328941.933607973;0.0
0.56;50.57395190686846;81547.27526324004;72.98409504338316;0.0;0.0;14.025288227688986;0.0;38.273491484682395;0.0;41144.285800093625;4.273199254955081e-11;-1.929265636135824e-10;775.5244579181801;-8.071765478234738e-10;39627.465005245846;-1.6649247314148852e-08;28.753376880605135;0.0;0.0;6.628904311767411;0.0;15.191670714495917;0.0;75.49658237084566;0.0;1.2079226507921703e-12;4.2911018287834715;0.0;9.33856290511181;0.0;4450412.336549651;0.0;0.0;0.0;0.0;20544196.69474637;0.0
0.57;51.47705819091963;113105.24368606904;72.98409504338316;36.6292373504624;0.0;0.0;0.0;31.59365238668887;3.789458447705216e-13;41144.285800093625;42577.04169531323;0.0;0.0;0.0;29383.916190664924;-2.731761483687478e-09;28.75337688060513;10.220466777463807;0.0;0.0;0.0;12.503214532850691;0.0;75.49658237084566;2.1902053261097185;0.0;0.0;0.0;6.367980120652178;0.0;4450412.33654965;4577573.8068757225;0.0;0.0;0.0;17010825.212182425;0.0
0.58;52.38016447497084;117226.82335123836;72.98409504338316;36.72897801723529;0.0;0.0;2.1192352294606185e-13;33.70688207071806;0.0;41144.285800093574;42671.563652634344;1.3946532817499246e-10;9.723491612945167e-12;4.828746007552285e-10;33410.97389852319;-1.33913954456375e-08;28.75337688060514;10.230217094054662;0.0;0.0;0.0;13.396570500311046;0.0;75.49658237084563;2.18480156199024;1.220357148667972e-12;0.0;0.0;7.029644728570332;0.0;4450412.336549648;4589233.147433866;0.0;0.0;0.0;18128640.385889113;0.0
0.59;53.28327075902207;121483.99656346539;72.98409504338319;36.72897801723529;0.0;4.639846757328597e-13;0.0;36.00432130334124;2.792860328582966e-13;41144.285800093625;42671.56365263433;1.929834070324432e-11;9.343975388176416e-11;-8.076403990031622e-10;37668.14711075362;-1.5462781277619797e-08;28.753376880605146;10.230217094054664;0.0;0.0;0.0;14.299676784362262;0.0;75.49658237084573;2.18480156199024;0.0;0.0;0.0;8.087297831153718;0.0;4450412.336549638;4589233.147433866;0.0;0.0;0.0;19343895.147027407;0.0
0.6;54.18637704307329;123458.26395369253;72.98409504338316;36.72897801723529;0.0;0.0;0.0;38.3017605359645;0.0;41144.28580009364;42671.563652634344;1.3935164133727085e-10;1.138517973231501e-06;0.0;39642.41449983045;-4.55094184559357e-09;28.75337688060513;10.230217094054662;0.0;0.0;0.0;15.202783068413495;0.0;75.49658237084563;2.18480156199024;0.0;0.0;0.0;9.354151016058312;0.0;4450412.336549649;4589233.147433866;0.0;0.0;0.0;20559149.90816574;0.0
